video_id,sentiment,subjectivity,has_named_entities,urgency,is_emotional,has_emojis,is_question,verb_tense,half_life_hour,length,title_num_tokens,channel_age,channel_video_count,country,channel_view_count,channel_num_subscribers,country_avg_half_life,title_category_Conflict,title_category_Economy,title_category_Health and Safety,title_category_Other,title_category_Politics,title_category_Science/Tech,title_category_Society,title_category_Sports,half_life_hour_cat,day_of_week,hour_of_publication
-_5U-FXZdk0,-1,2,0,1,1,0,0,2,4,0.0157116111743328,0.25,0.8888888888888888,0.1229928396001245,United Kingdom,0.0163208467600598,0.0665472396223242,0.1522057566544769,0,0,0,0,1,0,0,0,0,0,16
ueivDS9OgyE,0,0,1,1,0,0,0,1,12,0.0168863110752175,0.4375,0.9444444444444444,0.0659725345048255,United Kingdom,0.02742139478999,0.038749565508136,0.1522057566544769,0,0,0,0,0,0,0,1,1,3,17
SM4qh5xHWII,1,2,0,0,1,0,0,1,4,0.0216952387944642,0.53125,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,1,0,0,0,0,0,0,0,0,5,23
NzQgTYrI_yU,-1,2,0,1,1,0,0,1,3,0.0866708270621489,0.40625,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,1,0,0,0,0,0,0,0,2,17
9THXHvDRmxo,-1,0,1,1,1,0,0,1,4,0.0248522447780918,0.34375,0.8888888888888888,0.1229928396001245,United Kingdom,0.0163208467600598,0.0665472396223242,0.1522057566544769,1,0,0,0,0,0,0,0,0,2,21
t4P0sT25JFU,0,1,1,1,0,0,0,0,3,0.002275981057964,0.40625,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,0,0,1,0,0,0,0,4,15
Mw_dYod92Ts,0,0,1,1,1,0,0,1,8,0.0021658529422561,0.40625,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,0,1,0,0,0,0,0,1,0,15
_4ujk2BRogQ,1,0,1,2,1,0,0,1,3,0.0020190154546455,0.21875,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,0,0,0,1,0,0,0,2,16
aZ82xelHVqg,0,1,1,0,0,0,0,1,12,0.0154546455710142,0.34375,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,0,0,1,0,0,0,0,1,3,16
TCw0RXvMuRA,0,0,1,1,0,0,0,1,9,0.0168863110752175,0.5625,0.9444444444444444,0.0659725345048255,United Kingdom,0.02742139478999,0.038749565508136,0.1522057566544769,0,0,0,0,0,0,0,1,1,4,21
fRWqX0pTwx8,0,1,0,1,0,0,0,0,4,0.0819720274586101,0.5,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,1,0,0,0,0,0,0,0,0,5,9
gpacN3lEA8Q,-1,0,0,1,0,0,0,0,2,0.0084064461657061,0.53125,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,1,0,0,0,0,0,0,0,3,14
v5QkLeP8tHg,0,1,0,0,0,0,0,1,10,0.0292573694064094,0.125,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,0,0,1,0,0,0,0,1,4,22
joUtSuKHf5c,-1,2,1,2,1,0,0,1,4,0.0074152931243346,0.3125,0.8888888888888888,0.1229928396001245,United Kingdom,0.0163208467600598,0.0665472396223242,0.1522057566544769,1,0,0,0,0,0,0,0,0,4,22
gZcfSgKyIEM,1,1,1,1,1,0,0,0,3,0.0127014426783157,0.28125,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,0,0,1,0,0,0,0,3,9
OhpZ_oxgkm4,0,2,1,1,0,0,0,1,9,0.1193788774274072,0.375,0.8888888888888888,0.1229928396001245,United Kingdom,0.0163208467600598,0.0665472396223242,0.1522057566544769,0,0,0,0,1,0,0,0,1,0,15
CADbeV8U8jg,0,1,0,1,0,0,0,1,3,0.0385081311258764,0.28125,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,1,0,0,0,0,0,0,0,0,3,8
B8fdPwKjHEs,0,0,1,1,0,0,0,1,2,0.0288902756873829,0.3125,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,0,0,1,0,0,0,0,3,11
S1SbNJw6SLo,0,2,1,2,0,0,1,1,8,0.0061671744796446,0.40625,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,1,0,0,0,0,0,0,0,1,4,12
9ku-cZB8DJc,-1,0,1,2,1,0,0,1,2,0.0033772622150435,0.28125,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,0,0,0,0,1,0,0,3,6
U_Nf6raRPFM,1,2,1,0,1,0,0,1,10,0.0067178150581843,0.34375,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,0,0,0,0,0,1,0,1,1,14
YiqkMbggz2o,-1,0,1,2,1,0,0,0,2,0.007268455636724,0.3125,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,0,0,1,0,0,0,0,1,12
i1wHgldltJo,-1,0,1,1,1,0,0,1,2,0.0186483609265445,0.5625,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,1,0,0,0,0,0,0,0,0,12
iVJBD72MhPg,-1,0,0,2,1,0,0,1,4,0.0056532432730075,0.3125,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,1,0,0,0,0,0,0,0,6,19
IXpV3Vhy9a0,1,2,0,1,1,0,0,1,11,0.0368929187621599,0.21875,0.8888888888888888,0.1229928396001245,United Kingdom,0.0163208467600598,0.0665472396223242,0.1522057566544769,0,0,0,0,1,0,0,0,1,2,22
h9s-klv7Ffo,0,1,1,1,0,0,0,1,3,0.0068279431738922,0.21875,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,0,0,0,0,0,1,0,0,0,13
Q6GwZC_qvIo,0,1,0,1,0,0,0,1,3,0.033772622150435,0.28125,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,1,0,0,0,0,0,0,0,0,6,17
_Vce5Wv5FOI,0,0,0,1,0,0,0,1,3,0.0240079292243309,0.4375,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,0,0,0,0,1,0,0,4,17
-e64l9o-3jw,0,1,0,1,0,0,0,2,2,0.0183546859513233,0.28125,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,1,0,0,0,0,0,0,4,6
mI7mUxl-Cf8,-1,2,0,2,1,0,0,1,3,0.009764692926104,0.21875,0.8888888888888888,0.1229928396001245,United Kingdom,0.0163208467600598,0.0665472396223242,0.1522057566544769,1,0,0,0,0,0,0,0,0,2,14
_gkmCpEeR2I,-1,2,0,2,1,0,0,1,3,0.0036709371902646,0.34375,0.8888888888888888,0.1229928396001245,United Kingdom,0.0163208467600598,0.0665472396223242,0.1522057566544769,1,0,0,0,0,0,0,0,0,1,19
TpIB_1G465M,1,1,1,1,1,0,0,1,4,0.0026063654050879,0.25,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,0,1,0,0,0,0,0,0,4,17
DHopPHdUts0,1,1,0,0,1,0,0,1,8,0.0019088873389376,0.34375,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,0,0,1,0,0,0,0,1,3,13
nSVI-bX4tbA,0,0,0,2,0,0,0,1,4,0.0020924341984508,0.28125,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,0,0,1,0,0,0,0,1,14
8gXOrNUH34U,1,2,1,2,1,0,1,1,4,0.0143166550420322,0.59375,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,1,0,0,0,0,0,0,0,0,1,12
4UOPTEcg0QQ,-1,2,1,2,1,0,0,1,3,0.0339561690099482,0.5,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,0,0,1,0,0,0,0,5,20
jvcVUcOFGbQ,0,1,1,0,0,0,1,0,4,0.0062038838515472,0.53125,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,0,0,1,0,0,0,0,0,16
S5g-_T1OS-Q,1,1,1,1,0,0,0,2,10,0.0018721779670349,0.375,0.5555555555555555,0.1263758691065066,United Kingdom,0.1437923435960307,0.2180372096626088,0.1522057566544769,0,0,0,1,0,0,0,0,1,1,17
RRg4lPa2fo8,1,1,1,1,0,0,0,1,4,0.0035975184464593,0.34375,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,0,1,0,0,0,0,0,1,7
IbW91dSSSgs,0,1,1,1,0,0,0,1,3,0.0174369516537572,0.40625,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,1,0,0,0,0,0,0,0,0,6,4
Ni0nvBX1VpY,-1,2,0,1,1,0,0,0,3,0.0114533240336257,0.3125,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,0,0,1,0,0,0,0,5,21
OT_DFW9-bm0,0,1,1,1,0,0,0,1,8,0.0196028045960133,0.5,0.9444444444444444,0.0659725345048255,United Kingdom,0.02742139478999,0.038749565508136,0.1522057566544769,0,0,0,0,0,0,0,1,1,4,22
8wGMo42ek7U,1,0,0,0,1,0,0,1,2,0.0172166954223413,0.5,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,0,0,1,0,0,0,0,0,0,6,6
Afz5f7q8VAk,0,0,0,2,0,0,0,1,3,0.0020557248265482,0.34375,0.3888888888888888,0.4115673319727421,United Kingdom,0.0099238840948426,0.0523297343434625,0.1522057566544769,1,0,0,0,0,0,0,0,0,5,16
